Incident,Summary,label
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
DISTURBANCE Disturbing The Peace,A staff member reported that a security guard chest bumped him multiple times during a confrontation over him picking recyclables from the trash outside the location.,1
PROPERTY Damaged Property,A non-USC male reported that the roof of his truck was damaged when it struck an overhead cross beam as he was driving on the third floor of the location.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed the wheels from a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A non-USC male drove a cart into a light post outside the location, causing minor damage.",2
ROBBERY Robbery-Strong-Arm,Three suspects approached a student and his companion outside the location and demanded their property. When the student refused to comply the suspects punched him several times in the face. The suspects then removed the student's cellular phone and his companion's purse and fled on foot.,3
ALCOHOL Drunk In Public,A non-USC male was arrested for public intoxication.,2
SERVICE Suspicious Circumstances,A suspect attempted to pry open two doors to gain entry to the location.,2
VEHICLE CODE Driving Without Consent,A suspect was arrested for removing a non-USC female's vehicle from the location.,2
BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle,A suspect removed an in-dash stereo.,4
THEFT-MOTOR VEHICLE Attempt Theft From Motor Vehicle,"A suspect entered an unsecured vehicle and ransacked the interior, but did not remove any property.",2
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A suspect removed a USC parking permit.,2
PROPERTY Lost/Missing Property,A staff member reported a parking sign missing from the sidewalk outside the location.,1
PROPERTY Damaged Property,"A non-USC female drove her vehicle into a gate in the parking lot at the location, causing minor damage.",1
FIRE Alarm Activation,A fire alarm was activated by water mist from pressure washers being used on the walls of the parking garage at the location.,1
SERVICE Suspicious Circumstances,A staff member reported that a classmate from several years ago has been attempting to contact her by telephone and social media and it has caused her to fear for her safety.,2
WARRANT Warrant Arrest,A bike theft suspect was arrested for an outstanding warrant.,2
ASSAULT Assault-School Employee,A bike theft suspect was arrested for shoving a DPS officer.,3
ASSAULT Assault-Other Dangerous Weapon,A non-USC female reported that she was bumped by a non-USC male's vehicle while she was standing outside the drive thru window at the location. The female sustained an unspecified injury to her leg and stated that she will seek medical treatment on her own.,4
VANDALISM Vandalism-Felony,A suspect was arrested for vandalizing a vehicle parked near the location.,3
SERVICE Illness Response,A non-USC male was examined and released to proceed to his previously scheduled doctor's appointment after complaining of weakness in his legs.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a package from the front porch.,2
IDENTITY THEFT Identity Theft,A suspect used unknown means to make several unauthorized charges to a student's credit card account.,3
PROPERTY Damaged Property,A student reported that the hood was damaged while her vehicle was parked at the location.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
BURGLARY Burglary-Commercial,A suspect removed three computer adapters and miscellaneous coins.,3
SERVICE Suspicious Circumstances,"A student reported that a patient he met at the Dental School followed him to the location and was waiting outside after he attended mass. Fearing for his safety, the student contacted the DPS office, but the patient left the area before officers arrived.",2
THEFT-PETTY Theft Petty-Plain,A suspect removed the handlebars from a bicycle.,2
PROPERTY Lost/Missing Property,A staff member reported a department cellular phone missing.,1
BURGLARY Burglary-Residential,"A suspect climbed onto a balcony and opened an unsecured sliding glass door to gain entry to an apartment. The suspect ransacked the interior, but it could not be determined if any property had been removed at the time of the report.",3
IDENTITY THEFT Identity Theft,A suspect used unknown means to make multiple unauthorized purchases on a student's credit card account.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed the seat from a bicycle.,2
SERVICE Illness Response,A non-USC male was examined and released at the scene after fainting.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed a tote bag.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after suffering an allergic reaction to food she had eaten.,2
FIRE Alarm Smoke,A fire alarm was activated by smoke from burnt food.,2
FRAUD Fraud-General,A suspect used unknown means to make four unauthorized purchases on a student's credit card account.,2
BURGLARY Burglary-Residential,"A suspect removed a video game console, ten video games, an external hard drive and a pair of sunglasses.",3
THEFT-PETTY Theft Petty-Plain,A suspect removed a cellular phone.,2
THEFT-PETTY Theft Petty-Plain,"A suspect removed a video game console and remote, and a streaming console.",2
BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle,A suspect removed a laptop computer and a wireless speaker.,4
VANDALISM Vandalism-Misdemeanor,A suspect used a marking pen to write graffiti on the rear door of a University vehicle.,2
FRAUD Fraud-General,A suspect used unknown means to make an unauthorized purchase on a student's credit card account.,2
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after injuring his ankle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Injury Response,An infant was examined and released to her mother after sustaining a cut to her chin.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Injury Response,A student was examined and released to seek medical treatment on his own after injuring his ankle.,2
PROPERTY Damaged Property,A student reported that the driver's side view mirror on a University vehicle was damaged when an unidentified passing motorcyclist struck it with his hand.,1
FIRE Alarm Malfunction,A fire alarm was activated by rain water leaking into the system.,2
TRAFFIC Traffic Collision Without Injuries,"A non-USC female backed her vehicle into a University vehicle driven by a staff member, causing minor damage.",2
SERVICE Illness Response,A non-USC male was transported within the facility for medical treatment after complaining of chest pains.,2
FRAUD Fraud-General,A suspect used unknown means to make two unauthorized purchases on a student's credit card account.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a cellular phone.,2
SERVICE Suspicious Circumstances,A student reported that he found evidence of someone occupying his room without permission while he was on vacation. No property was removed.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Lost/Missing Property,A staff member reported a department issued laptop computer missing.,1
SERVICE Injury Response,A non-USC male was transported to a local hospital for medical treatment after injuring his head.,2
PROPERTY Lost/Missing Property,A staff member reported a set of University keys missing.,1
BURGLARY Burglary-Residential,A suspect removed a purse.,3
SERVICE Suspicious Circumstances,A student reported that he observed six suspects engaged in unknown suspicious activity around two vehicles that were blocking his assigned parking space at the location and it caused him to feel uncomfortable. The suspects subsequently drove away in the vehicles without incident.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after fainting.,2
EH&S Water Leak,Water was reported to be leaking from the ceiling of a basement restroom at the location. The leak was determined to be coming from a broken water valve and FMS personnel responded to clean up and conduct repairs.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed two dental tools.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-GRAND Theft Grand-Plain,A suspect removed an external hard drive.,2
FIRE Alarm Accidental,A fire alarm was activated by fog from a fog machine.,1
VANDALISM Vandalism-Misdemeanor,A suspect spray painted graffiti on the asphalt in the parking lot at the location.,2
PROPERTY Lost/Missing Property,A staff member reported a University vehicle key missing.,1
PROPERTY Damaged Property,"A staff member reported that the driver's side rear door, rear tire and rear quarter panel were damaged while her vehicle was parked at the location.",1
SERVICE Person Stuck In Elevator,LAFD responded to the location to free a student who was trapped in an elevator.,5
BATTERY Battery,A combative patient struck a nurse in the face at the location.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed three rubber mats.,2
FIRE Alarm Accidental,A fire alarm was activated by steam from a shower.,1
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after complaining of dizziness and feeling faint.,2
FRAUD Fraud-General,A suspect used unknown means to make an unauthorized charge to a staff member's credit card account.,2
SERVICE Injury Response,"A staff member reported that she injured her leg, back and arm at the location the previous day and sought medical treatment on her own.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
VANDALISM Vandalism-Felony,A suspect used an unknown object to scratch the paint on the passenger side of a student's vehicle.,3
PROPERTY Lost/Missing Property,A student reported his USC parking permit missing.,1
BATTERY Battery,A student reported that she was punched in the chest during a confrontation with a suspect who attempted to take her keys and,3
PROPERTY Damaged Property,A student reported that the rear bumper was damaged while her vehicle was parked at the location.,1
PROPERTY Damaged Property,"A parking gate closed and struck the rear bumper of a non-USC male's vehicle as he was exiting campus at the location, causing minor damage.",1
BATTERY Battery,"A student reported that an unseen suspect punched him in the face while he was involved in a confrontation with another suspect outside the location. The student sustained a cut and bruising to his face, but he did not desire medical treatment.",3
BATTERY Battery,A student committed a battery on a staff member.,3
SERVICE Illness Response,A patient experiencing high blood pressure was transported to ETC.,2
SERVICE Illness Response,A staff member was transported to a local hospital for a possible heart attack.,2
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A USC parking permit was removed without permission.,2
SERVICE Illness Response,A patient had difficulty with her breathing and was transported to ETC.,2
SERVICE Illness Response,A faculty member suffering from a condition was evaluated by a university counselor.,2
SERVICE Injury Response,A student injured herself while playing frisbee.,2
ALCOHOL Alcohol/Drug Overdose,Student was transported for excessive alcohol consumption.,3
TRESPASS Trespassing,"A group of males, not affiliated with USC, were found loitering. They were escorted off the campus without incident.",3
ALCOHOL Alcohol/Drug Overdose,A student was transported to a hospital for excessive alcohol consumption.,3
BURGLARY Burglary-Commercial,A suspect was caught on camera removing student's property. The suspect was arrested.,3
SERVICE Injury Response,A staff member fell in front of location. She declined any medical attention.,2
PROPERTY Damaged Property,A faculty member reported that the front windshield was cracked while her vehicle was parked at the location.,1
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls","A staff member reported receiving multiple threatening and annoying phone calls and voice mail messages from a suspect who was previously served with a University ""stay away"" letter.",2
PROPERTY Lost/Missing Property,A staff member reported a parking sign missing from the lot outside the location.,1
SERVICE Injury Response,A non-USC female was transported to a local hospital for medical treatment after injuring her knee.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
FIRE Alarm Malfunction,A fire alarm was activated by unknown cause.,2
PROPERTY Lost/Missing Property,A student reported her wallet missing.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed mail from a mailbox.,2
PROPERTY Damaged Property,A non-USC male reported that the rear passenger side taillight was damaged while his vehicle was parked at the location.,1
VEHICLE CODE Possession Fake Identification,A student was cited to Judicial Affairs for possession of a fake ID.,2
EH&S Water Leak,Water was reported to be leaking from a broken water heater in a kitchen at the location. FMS personnel were requested to clean up and conduct repairs.,3
VEHICLE CODE Hit & Run - Misdemeanor,A student reported that he backed a University vehicle into another vehicle and the driver of the second vehicle left the scene as he was attempting to drive around the block to stop and exchange information with the subject.,3
NARCOTICS Possession of Drug Paraphernalia,A student was cited to Judicial Affairs for possession of drug paraphernalia.,3
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of his roommate.,3
BURGLARY Burglary-Commercial,A suspect removed an unknown quantity of basketball and volleyball equipment.,3
BURGLARY Burglary-Commercial,A suspect removed an unknown quantity of basketball and volleyball equipment.,3
THEFT-PETTY Shoplifting,A suspect was arrested for removing an external hard drive from the location without paying for it.,2
EH&S Water Leak,Water was reported to be leaking from a ceiling pipe in the garage at the location. FMS personnel were requested to clean up and conduct repairs.,3
VANDALISM Vandalism-Misdemeanor,A suspect smashed the front passenger side window of a student's vehicle.,2
HARASSMENT Stalking,A student reported that another student has been making unwanted contact with her.,2
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of her friends.,3
BURGLARY Burglary-Residential,A suspect was arrested for removing a leaf blower and a speaker from the location.,3
NARCOTICS Possession of a Controlled Substance,A student was cited to Judicial Affairs for possession of marijuana and uncooperative behavior with an RA and DPS officers.,3
TRAFFIC Possession of Stolen Parking Permit,A student's vehicle was immobilized for displaying a stolen USC parking permit.,1
SERVICE Suspicious Circumstances,A student reported that a suspect attempted to extort money from him by falsely claiming to be holding his brother captive.,2
ROBBERY Robbery-Strong-Arm,Two suspects approached two students from behind as they were walking near the location and one of them forcibly removed a purse and a cellular phone from one of the students while the second suspect pushed the second student to the ground and forcibly removed her purse. The suspects then fled on foot with the property.,3
PROPERTY Lost/Missing Property,A student reported that a suspect removed the contents from a package that was mailed to her at the location.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed a cellular phone.,2
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A suspect removed a wallet.,2
VANDALISM Vandalism-Misdemeanor,A suspect spray painted graffiti on a wall at the location.,2
DOMESTIC VIOLENCE Dating Violence,A suspect was detained for a battery investigation and subsequently arrested for an outstanding warrant.,2
SERVICE Illness Response,A non-USC male suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
EH&S Water Leak,Water was reported to be leaking from a water heater at the location. The water to the heater was shut off and FMS personnel were requested to clean up and conduct repairs.,3
SERVICE Illness Response,A student suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
SERVICE Injury Response,A staff member was examined and released at the scene after sustaining injuries to her forehead and foot.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls",Multiple staff members reported receiving disturbing faxes in their offices from an unidentified subject.,2
LA MUNICIPAL CODE Loud and Raucous Noise,,1
THEFT-PETTY Theft Petty-Plain,A suspect removed the front wheel and handlebars from a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
ALCOHOL Unlawful Possession of Alcohol,A student reported an envelope containing currency missing.,2
PROPERTY Lost/Missing Property,A student reported an envelope containing currency missing.,1
SERVICE Illness Response,A non-USC male was transported within the facility for medical treatment after suffering a seizure.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed currency from a purse.,2
BATTERY Battery,A student reported that a suspect scratched his face during a confrontation outside the location.,3
SERVICE Illness Response,A non-USC female suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
THEFT-MOTOR VEHICLE Theft from Motor Vehicle,A suspect removed the front passenger side and rear driver's side wheels.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Welfare Check,"Officers responded to a report of a student behaving erratically at her residence. The student appeared to be fine and she was advised of the University resources available to her, but she declined any assistance and the officers cleared the scene.",2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of two trash bags.,3
ALCOHOL Alcohol/Drug Overdose,An intoxicated student was examined and released into the care of a friend.,3
ALARM RESPONSE Environmental Alarm,LAFD responded to a report of a carbon monoxide alarm activation in an apartment at the location. No carbon monoxide was detected and the unit was subsequently cleared for reentry.,3
SERVICE Illness Response,A non-USC male was transported within the facility for medical treatment after complaining of dizziness.,2
SEX OFFENSE Undetermined Sexual Assault,A student was anonymously reported to have been sexually assaulted.,4
SEX OFFENSE Undetermined Sexual Assault,A student was anonymously reported to have been sexually assaulted.,4
SERVICE Suspicious Circumstances,A staff member reported finding human excrement under a counter in an office at the location.,2
PROPERTY Lost/Missing Property,A student reported his USC parking permit missing.,1
SERVICE Illness Response,A non-USC female was transported to a local hospital for medical treatment after complaining of dizziness.,2
PROPERTY Damaged Property,A staff member reported that two containers were knocked off the wall of an examination room at the location.,1
THEFT-GRAND Theft Grand-Plain,A suspect removed a laptop computer.,2
PROPERTY Lost/Missing Property,A student reported a camera missing.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a package from the front porch of the location.,2
BURGLARY Burglary-Residential,A suspect removed a bicycle.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
PROPERTY Damaged Property,A non-USC male reported that the driver's side door and side view mirror were damaged while his vehicle was parked at the location.,1
BATTERY Battery,"A suspect approached a student from behind, lifted up her skirt and possible took a photo of her with his phone. The suspect then fled on foot.",3
LA MUNICIPAL CODE Loud and Raucous Noise,Officers responded to a complaint of loud noise coming from the location and upon their arrival they were met by a student who advised them that he and a group of approximately fifty other students were holding a dance practice on the fourth floor with amplified music. The students were advised to disperse and they complied without further incident.,1
PROPERTY Lost/Missing Property,"A faculty member reported that he lost his wallet and subsequently received an email from a student who claimed to have found it, but he has received no further communication from the subject.",1
SERVICE Injury Response,A student was examined and released to seek medical treatment on his own after injuring his knee.,2
ALCOHOL Drunk In Public,A student was arrested for public intoxication.,2
TRAFFIC Parking or Moving Violation,"A non-USC male was arrested for driving with a suspended license, cited and released. His vehicle was also impounded.",1
TRAFFIC Traffic Collision Without Injuries,"A non-USC male drove his vehicle into a pole, causing major damage.",2
PROPERTY Lost/Missing Property,A staff member reported a gardening tool missing.,1
SERVICE Illness Response,A non-USC female suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Illness Response,A staff member was transported to a local hospital for medical treatment after complaining of severe abdominal pain.,2
THEFT-GRAND PERSON Grand Theft Person,A suspect seated on a bench behind a student outside the location reached over and snatched her cellular phone from her hand. The suspect then fled on foot.,4
HARASSMENT Stalking,A staff member reported receiving nearly a thousand threatening and annoying voice mail messages from her ex-boyfriend on her office phone and it has caused her to fear for her safety.,2
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls",A staff member reported receiving a disturbing fax in his office from an unidentified subject.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision With Injuries,An unidentified male who was involved in a two vehicle traffic collision near the location drove away without stopping to identify,3
SERVICE Injury Response,A non-USC female was examined and released to proceed to her previously scheduled doctor appointment after falling and hitting her head.,2
SERVICE Illness Response,A non-USC female was transported to a local hospital for medical treatment after complaining of difficulty breathing.,2
THEFT-PETTY Theft Petty-Plain,A suspect removed twenty five scarfs.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after complaining of chest pains.,2
FRAUD Fraud-General,A suspect used unknown means to make two unauthorized purchases on a student's credit card account.,2
SERVICE Illness Response,A non-USC male was examined and released at the scene after complaining of abdominal pains.,2
PROPERTY Damaged Property,A staff member reported that a wireless network card was damaged by unknown means.,1
DISTURBANCE Disturbing The Peace,A student was cited to Judicial Affairs for uncooperative behavior with DPS officers who responded to his apartment following multiple complaints of loud music at the location.,1
SERVICE Injury Response,A staff member reported that she was splashed with an unknown liquid while removing a tray from a pathology refrigerator. The staff member was not injured and the liquid was subsequently determined to be water.,2
PROPERTY Damaged Property,A staff member reported that a University key was damaged by unknown means.,1
THEFT-GRAND Theft Grand-Plain,A suspect removed two backpacks and a cellular phone.,2
ALARM RESPONSE Environmental Alarm,A radiation alarm was activated by the contents of a trash bag.,3
ALCOHOL Drunk In Public,An intoxicated student was examined and released into the care of his friends.,2
ROBBERY Robbery-Knife or Cutting Instrument,A suspect approached a non-USC male from behind as he was walking to his vehicle outside the location and stabbed him twice with a possible steak knife while demanding the male's money. The male refused to comply and was able to enter his vehicle to get away from the suspect. The suspect then punctured the driver's side tires on the male's vehicle before walking away.,4
FIRE Alarm Malfunction,A fire alarm was activated due to unknown cause.,2
FIRE Alarm Malfunction,A fire alarm was activated due to unknown cause.,2
FRAUD Fraud-General,A staff member reported that she discovered a counterfeit one hundred dollar bill while counting money received from patients.,2
VANDALISM Vandalism-Misdemeanor,A suspect smashed the rear windshield of a student's vehicle.,2
VANDALISM Vandalism-Misdemeanor,A suspect smashed the sun roof on a student's vehicle.,2
FIRE Alarm Malfunction,A fire alarm was activated due to unknown cause.,2
TRAFFIC Traffic Collision Without Injuries,"A student drove a University vehicle into a gate, causing minor damage.",2
SERVICE Welfare Check,A welfare check was conducted on a student at the location and he declined any further assistance after being found unharmed.,2
TRAFFIC Traffic Collision-Pedestrian,A staff member was struck by a vehicle while crossing the street near the location. The staff member sustained unspecified injuries and was transported to a local hospital for medical treatment.,2
EH&S Water Leak,A water main broke underground outside the location. The water was shut off and a contractor was requested to conduct repairs in the morning.,3
PROPERTY Damaged Property,A student reported that the passenger side view mirror was damaged while his vehicle was parked at the location.,1
TRAFFIC Traffic Collision-Bicycle,A student was struck by a vehicle while riding her bicycle near the location. The student sustained an injury to her leg and was transported to SHC for medical treatment.,2
SERVICE Illness Response,A non-USC male suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
SEX OFFENSE Sexual Battery,A suspect approached a student from behind and grabbed her buttocks as she was walking near the location. The suspect then fled on foot and disappeared from sight.,4
BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle,A suspect removed several tools.,4
PROPERTY Lost/Missing Property,A student reported a package missing.,1
THEFT-GRAND Theft Grand-Plain,A suspect removed a desktop computer.,2
SERVICE Illness Response,A non-USC female was examined and released at the scene after fainting.,2
SERVICE Injury Response,"A staff member was treated and released at the scene after falling and sustaining cuts to his nose, forehead and lip.",2
TRAFFIC Traffic Collision Without Injuries,"A student driving his personal vehicle collided with a non-USC male driving his personal vehicle, causing major damage.",2
EH&S Gas Leak,The smell of natural gas was reported in a kitchen at the location. The gas lines to the kitchen stoves were turned off by LAFD personnel who responded to the scene and FMS personnel were requested to investigate the smell and conduct repairs.,3
THEFT-PETTY Theft Petty-Plain,A student reported that he lost his wallet and a suspect subsequently used a credit card inside it to make a purchase at the location.,2
VANDALISM Vandalism-Felony,A suspect used a marking pen to write graffiti on a wall on the top floor of the location.,3
SERVICE Injury Response,A non-USC female was examined and released at the scene after falling outside the location.,2
SERVICE Injury Response,A non-USC female was transported within the facility for medical treatment after injuring her knee.,2
SERVICE Illness Response,A student was transported to a local hospital for medical treatment after complaining of a severe headache and feeling faint.,2
PROPERTY Lost/Missing Property,A student reported her USC parking permit missing.,1
PROPERTY Lost/Missing Property,A student reported his cellular phone missing.,1
TRAFFIC Traffic Collision Without Injuries,"A student drove his vehicle into a non-USC female's vehicle, causing minor damage.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
TRAFFIC Traffic Collision Without Injuries,"A student drove a University vehicle into a parking gate, causing minor damage.",2
SERVICE Suspicious Circumstances,A staff member reported that she observed a suspect from a previous crime involving her son outside her office staring at her. The suspect then walked away with three companions and left the area.,2
