Summary,label
Unknown suspects entered into several possible unlocked rooms and removed students personal property. No forced entry was discovered.,2
"A staff member reported that a computer monitor, keyboard and power strip had been placed on the floor inside an unsecured office at the location. No property was removed.",2
A suspect removed a bicycle.,2
A student reported that another student posted a statement on a social media site that caused her to believe the subject may attempt to harm herself. The second student was subsequently determined to be unharmed and with her mother.,2
A student reported that a suspect is sharing nude photographs of her on social media without her permission.,2
"A suspect who was observed harassing students at the location was issued a University ""stay away"" letter.",3
A radiation alarm was activated by the contents of a trash bag.,3
A non-USC male reported that while he was sitting inside his parked vehicle it was struck by another vehicle and after parking next to him the driver of the second vehicle walked away without stopping to identify himself.,1
"A non-USC male drove a Metro bus into a University tram driven by a staff member, causing unspecified damage.",2
A non-USC male suffering from an unspecified illness was transported to a local hospital for medical treatment.,2
"A staff member drove a forklift into a Metro Rail surveillance camera, knocking it over.",1
A student reported his cellular phone missing.,1
A suspect known to have an outstanding felony warrant was arrested near the location.,2
A student reported that someone may have placed a drug in her drink while she was attending a party at the location.,2
An intoxicated non-USC male was examined and released into the care of his girlfriend.,2
Three juveniles were detained for investigation after they were observed tampering with bicycles in the racks outside the location. The juveniles were then advised against trespassing on University property and released to their guardians.,3
A party hosted by a student at the location was shut down following multiple noise complaints.,1
A suspect removed the vehicle battery.,4
A non-USC female was transported to a local hospital for medical treatment after falling and injuring her knees and back.,2
A suspect removed a bicycle.,2
A student was examined and released at the scene after falling and injuring her arm.,2
A student reported that her roommate threatened her during an argument.,2
An unidentified female entered a classroom and left without incident.,2
A suspect removed a television and a phone charger.,2
A student reported her cellular phone missing.,1
A student reported that she believes she was touched inappropriately by an unidentified male during an event at the location.,4
A suspect removed a bicycle.,2
A staff member was transported to SHC for medical treatment after complaining of difficulty breathing.,2
A student reported her passport missing.,1
The screen on a laptop computer mounted in a University vehicle was damaged by unknown means.,1
A fire alarm was activated by contractors power washing the concrete on the fourth floor of the location.,1
A staff member reported that the passenger side doors were scratched while her vehicle was parked at the location.,1
A staff member working in the coffee shop at the location reported that another staff member yelled profanities at her and threw straws on the ground because his drink was not prepared to his satisfaction.,1
A student was cited to Judicial Affairs for possession of a fake ID.,2
A parking control arm lowered and struck a non-USC male's vehicle as he was entering the location and as he continued to drive forward the arm was broken off it's base.,1
A staff member reported a flashlight was missing or lost.,1
A suspect removed a package that was delivered to the location.,2
Two students were involved in a verbal altercation at the location.,2
A radiation alarm was activated by the contents of a trash bag.,3
A student reported receiving numerous harassing messages from his ex-girlfriend on multiple social media sites.,2
A suspect removed a laptop computer.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
LAFD responded to a carbon monoxide alarm activation in an apartment at the location. No carbon monoxide was detected and the apartment was subsequently cleared for reentry.,3
A bong was found in a dorm room during a routine health and safety inspection.,3
A suspect removed a bicycle.,2
A suspect spray painted graffiti on a non-USC male's vehicle while it was parked near the location.,2
Three juveniles and a non-USC female were detained for questioning after they were observed to be smoking marijuana in a vehicle parked on the top floor of the location. All of the subjects were advised against trespassing on University property and subsequently released.,3
A suspect removed a bicycle.,2
A student reported his bicycle stolen.,2
A staff member suffering from flu like symptoms was transported to a local hospital for medical treatment.,2
"A student drove her vehicle into a non-USC male's vehicle, causing unspecified damage.",2
A student was transported to SHC for medical treatment after complaining of irritation to his eye.,2
A suspect was arrested for prowling around vehicles parked at the location.,1
A suspect removed a bicycle.,2
A student was examined and released to seek medical treatment on her own after injuring her shoulder.,2
A suspect used chalk to draw graffiti on the ground and a planter at the location.,1
A student reported that she has been involved in an on-going dispute with her roommate.,2
A student who was expelled from school was reported to be harassing students and faculty at the location. Officers requested that he leave the premises and he complied without further incident.,3
A suspect removed a cellular phone.,2
A suspect used an unknown object to puncture the rear tires on a non-USC female's vehicle.,2
A staff member was examined and released at the scene after complaining of chest pains.,2
A fire alarm was activated by unknown cause.,2
A suspect removed a dental tool and attachments.,2
A non-USC female was examined and released at the scene after complaining of dizziness and feeling light headed.,2
A student died of unknown cause.,2
A non-USC male reported that the driver's side door was damaged while his vehicle was parked at the location.,1
A student was transported to a local hospital for medical treatment after injuring her knee.,2
"A suspect removed a white, 1994 Honda Accord that was parked near the location.",3
A suspect removed a bicycle.,2
A staff member fell in front of location. She declined any medical attention.,2
"A student was examined and released to seek medical treatment on her own after falling and sustaining abrasions to her cheek, hands, arm and knee.",2
"A suspect removed a phone charger, a pair of headphones, a skateboard, a guitar and other miscellaneous property from three vehicles parked at the location.",2
A student was cited to Judicial Affairs for possession of a fake ID.,2
A contaminated bag activated an alarm on the loading dock.,3
A suspect removed a bicycle.,2
A fire alarm was activated by cigarette smoke.,2
A student reported receiving a text message from an unidentified subject that caused her concern.,2
A suspect removed a purse.,2
A student was transported to SHC for medical treatment after complaining of back pain.,2
A radiation alarm was activated by the contents of a trash bag.,3
A suspect removed a bicycle.,2
A radiation alarm was activated by the contents of a trash bag.,3
A suspect removed a skateboard.,2
Officers responded to the location at the request of a student who wanted them to standby while her ex-boyfriend removed his property from her apartment after she asked him to move out. The subject gathered his property and left without incident.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A student reported her cellular phone missing.,1
A sexual assault of an unidentified student was reported to have taken place at the location.,4
A student was transported to a local hospital for medical treatment after complaining of chest pains and nausea.,2
A suspect was arrested for an outstanding warrant.,2
"A non-USC male drove a moving van into a University tram, causing minor damage.",2
A suspect removed a cellular phone.,2
A suspect removed a bicycle.,2
"An overheated light fixture activated a fire alarm and sprinklers inside an apartment at the location, causing water to flood the apartment and the one below it. FMS personnel were requested and responded to clean up and conduct repairs.",3
A staff member reported that she overheard two possible students discussing obtaining guns and ammunition and it caused her concern.,2
A suspect was arrested for trespassing in a laundromat at the location.,3
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment after injuring his shoulder.,2
A suspect removed a bicycle.,2
A suspect used unknown means to make two unauthorized purchases on a student's credit card account.,2
A suspect removed a bicycle.,2
A welfare check was conducted on a student at the location who was reported to be distraught. The student was placed in contact with an on-call counselor at the Student Counseling Center and she was subsequently cleared for release.,2
A resident reported that he has surveillance video footage of a suspect climbing over a fence to gain access to the location the previous night. No property was removed.,3
A contractor reported two tools missing.,1
A student reported that a suspect approached her outside the location and attempted to hug her twice without her consent.,3
An intoxicated male was found passed out on the ground outside the location and he was subsequently arrested for an outstanding warrant.,2
An intoxicated non-USC female was examined and released into the care of her roommate.,3
A student committed a battery on a staff member.,3
A suspect removed a wallet.,2
A bike theft suspect was arrested for an outstanding warrant.,2
A suspect removed a backpack.,2
A suspect removed a bicycle.,2
A female student reported a suspicious male peering through her apartment window.,3
A non-USC female reported that she was bumped by a non-USC male's vehicle while she was standing outside the drive thru window at the location. The female sustained an unspecified injury to her leg and stated that she will seek medical treatment on her own.,3
A carbon monoxide alarm was activated by unknown cause.,3
A student was transported to a local hospital for medical treatment after an apparent attempt to harm herself.,4
A radiation alarm was activated by the contents of a trash bag.,3
A suspect was arrested for damaging a door at the location.,3
A student reported that she has obtained a restraining order against her ex-boyfriend due to him attempting to forcibly take their child away from her.,2
A suspect removed a wallet.,2
A student was transported to a local hospital for medical treatment after complaining of chest pains and difficulty breathing.,2
A fire alarm was activated by unknown cause.,2
A trespassing suspect was arrested for possession of a controlled substance.,3
"A student on a bicycle was struck by a car door that was opened in his path, forcing him to stop. The rear wheel of the student's bicycle was then struck by a bus, causing him to fall to the ground. The student sustained multiple abrasions and complained of dizziness and he was transported to a local hospital for medical treatment.",2
A non-USC male was transported to a local hospital for medical treatment after complaining of difficulty breathing.,2
Four suspects who were found sleeping inside the location were advised against trespassing on University property and escorted off campus.,3
A juvenile was examined and released into the care of her mother after fainting.,2
A suspect was arrested for removing merchandise from the location without paying for it.,2
A student was transported to a local hospital for medical treatment after reporting that she was feeling faint.,2
"A student driving a University vehicle collided with a non-USC male driving his personal vehicle, causing minor to moderate damage.",2
A student reported that during a verbal dispute with another student he sustained an injury to his hand when the second student opened his vehicle door and it struck him. The reporting student was treated with an ice pack and released at the scene.,2
A fire alarm was activated by smoke from burnt food.,2
"A suspect attempted to punch a manager who blocked him from exiting the location with stolen merchandise. The manager was able to recover the merchandise and the suspect was detained by officers after fleeing from the store, but the manager did not desire criminal prosecution of the matter and the suspect was subsequently released.",2
A combative patient struck a nurse in the face at the location.,3
A suspect removed a backpack.,2
